date,capital
2026-04-02,10425.31123105513
2026-04-06,10775.398904794743
2026-04-07,13056.04221902432
2026-04-08,13001.305683405046
2026-04-09,14813.767504876643
2026-04-10,13454.565042145003
2026-04-13,16349.318715018873
2026-04-15,18535.452526070476
2026-04-16,21111.357436290225
2026-04-17,19800.83641244274
2026-04-24,21135.242616353044
